Order	Family name	Common name	Scientific name	2020 IUCN Red List category
STRUTHIONIFORMES	Struthionidae	Common Ostrich	Struthio camelus	LC
STRUTHIONIFORMES	Struthionidae	Somali Ostrich	Struthio molybdophanes	VU
STRUTHIONIFORMES	Rheidae	Greater Rhea	Rhea americana	NT
STRUTHIONIFORMES	Rheidae	Lesser Rhea	Rhea pennata	LC
STRUTHIONIFORMES	Rheidae	Puna Rhea	Rhea tarapacensis	NT
STRUTHIONIFORMES	Tinamidae	Tawny-breasted Tinamou	Nothocercus julius	LC
STRUTHIONIFORMES	Tinamidae	Highland Tinamou	Nothocercus bonapartei	LC
STRUTHIONIFORMES	Tinamidae	Hooded Tinamou	Nothocercus nigrocapillus	LC
STRUTHIONIFORMES	Tinamidae	Grey Tinamou	Tinamus tao	VU
STRUTHIONIFORMES	Tinamidae	Solitary Tinamou	Tinamus solitarius	NT
STRUTHIONIFORMES	Tinamidae	Black Tinamou	Tinamus osgoodi	VU
STRUTHIONIFORMES	Tinamidae	Great Tinamou	Tinamus major	NT
STRUTHIONIFORMES	Tinamidae	White-throated Tinamou	Tinamus guttatus	NT
STRUTHIONIFORMES	Tinamidae	Berlepsch's Tinamou	Crypturellus berlepschi	LC
STRUTHIONIFORMES	Tinamidae	Cinereous Tinamou	Crypturellus cinereus	LC
STRUTHIONIFORMES	Tinamidae	Tepui Tinamou	Crypturellus ptaritepui	LC
STRUTHIONIFORMES	Tinamidae	Little Tinamou	Crypturellus soui	LC
STRUTHIONIFORMES	Tinamidae	Brown Tinamou	Crypturellus obsoletus	LC
STRUTHIONIFORMES	Tinamidae	Undulated Tinamou	Crypturellus undulatus	LC
STRUTHIONIFORMES	Tinamidae	Brazilian Tinamou	Crypturellus strigulosus	LC
STRUTHIONIFORMES	Tinamidae	Grey-legged Tinamou	Crypturellus duidae	LC
STRUTHIONIFORMES	Tinamidae	Red-legged Tinamou	Crypturellus erythropus	LC
STRUTHIONIFORMES	Tinamidae	Yellow-legged Tinamou	Crypturellus noctivagus	NT
STRUTHIONIFORMES	Tinamidae	Black-capped Tinamou	Crypturellus atrocapillus	LC
STRUTHIONIFORMES	Tinamidae	Western Thicket Tinamou	Crypturellus occidentalis	LC
STRUTHIONIFORMES	Tinamidae	Eastern Thicket Tinamou	Crypturellus cinnamomeus	LC
STRUTHIONIFORMES	Tinamidae	Pale-browed Tinamou	Crypturellus transfasciatus	NT
STRUTHIONIFORMES	Tinamidae	Slaty-breasted Tinamou	Crypturellus boucardi	LC
STRUTHIONIFORMES	Tinamidae	Choco Tinamou	Crypturellus kerriae	VU
STRUTHIONIFORMES	Tinamidae	Variegated Tinamou	Crypturellus variegatus	LC
