name	n_species	n_te	prop_te	n_realm	d_realm	n_trophlevel	d_trophlevel	n_trophniche	d_trophniche	n_forageniche	d_forageniche	beak_area	morph_area	n_hasTissue	prop_hasTissue
Acanthisittidae	2	1	0.5	1	0.0	1	0.0	1	0.0	2	1.0	0.0	0.0	0	0.0
Acanthizidae	64	1	0.015625	2	0.03448275862068961	2	0.13067150635208713	1	0.0	4	0.5995160314579553	2.743668218679341	1.877554410372466	3	0.046875
Accipitridae	249	55	0.22088353413654618	8	0.8306477093206951	4	0.15134281200631916	6	0.43827578424734825	12	0.747880818232577	12.63390756235008	22.456320742899713	23	0.09236947791164658
Acrocephalidae	54	16	0.2962962962962963	5	0.6923076923076923	1	0.0	1	0.0	3	0.1448717948717949	2.654067281549187	1.9868871081974504	2	0.037037037037037035
Aegithalidae	14	0	0.0	3	0.6444444444444444	1	0.0	1	0.0	1	0.0	0.7410880924874397	0.5087452964412801	4	0.2857142857142857
Aegithinidae	4	0	0.0	1	0.0	1	0.0	1	0.0	1	0.0	0.3967762778375644	0.3315661676651176	0	0.0
Aegothelidae	10	1	0.1	1	0.0	1	0.0	1	0.0	1	0.0	2.1646252904316654	1.6188102961241186	1	0.1
Alaudidae	92	8	0.08695652173913043	4	0.5747412008281574	3	0.420703933747412	3	0.589648033126294	2	0.5149425287356322	4.91624079126846	3.8795680006568136	6	0.06521739130434782
Alcedinidae	120	16	0.13333333333333333	7	0.7294303797468354	1	0.0	3	0.48227848101265824	5	0.5727508330248057	5.8817935997665085	6.306521885964364	14	0.11666666666666667
Alcidae	24	6	0.25	2	0.5217391304347826	1	0.0	1	0.0	1	0.0	8.96182742597242	8.391942906404143	18	0.75
Anatidae	166	31	0.18674698795180722	9	0.8279654359780046	3	0.6175513410391651	4	0.7080013466502075	7	0.796320440388237	6.879180551931753	14.04181775549766	69	0.41566265060240964
Anhimidae	3	0	0.0	1	0.0	1	0.0	1	0.0	1	0.0	0.0015505863264979047	0.060944545214054305	0	0.0
Anhingidae	4	0	0.0	4	1.0	1	0.0	1	0.0	1	0.0	0.028873985966976354	0.7084245134040049	2	0.5
Anseranatidae	1	0	0.0	1	0.0	1	0.0	1	0.0	0	0.0	0.0	0.0	0	0.0
Apodidae	97	7	0.07216494845360824	7	0.7509054325955734	1	0.0	1	0.0	1	0.0	7.078514328108171	24.403339948126124	10	0.10309278350515463
Apterygidae	5	4	0.8	1	0.0	1	0.0	1	0.0	1	0.0	0.6349480465125905	0.35095911308883887	0	0.0
Aramidae	1	0	0.0	1	0.0	1	0.0	1	0.0	1	0.0	0.0	0.0	0	0.0
Ardeidae	65	10	0.15384615384615385	7	0.8129870129870129	1	0.0	2	0.19480519480519476	1	0.0	7.060242591529104	6.424641528001774	13	0.2
Artamidae	24	0	0.0	3	0.18571428571428572	2	0.18095238095238098	2	0.38095238095238093	5	0.6083333333333334	3.0910587218645533	6.068426313123773	2	0.08333333333333333
Atrichornithidae	2	2	1.0	1	0.0	1	0.0	1	0.0	1	0.0	0.0	0.0	0	0.0
Balaenicipitidae	1	1	1.0	1	0.0	1	0.0	1	0.0	1	0.0	0.0	0.0	0	0.0
Bernieridae	11	1	0.09090909090909091	1	0.0	1	0.0	1	0.0	2	0.5333333333333333	0.6977794998355161	0.33095458811431555	0	0.0
Bombycillidae	3	0	0.0	2	0.6666666666666667	2	0.6666666666666667	2	0.6666666666666667	1	0.0	0.06533201430424201	0.2799087351228988	2	0.6666666666666666
Brachypteraciidae	5	3	0.6	1	0.0	1	0.0	1	0.0	2	0.5	0.4772785421560803	0.3561492962339422	0	0.0
Bucconidae	38	1	0.02631578947368421	1	0.0	1	0.0	1	0.0	3	0.4334677419354839	2.6717695242567796	1.8716212768294256	8	0.21052631578947367
Bucerotidae	62	25	0.4032258064516129	2	0.5042016806722689	3	0.5764705882352941	3	0.38319327731092434	2	0.30681818181818177	7.999301806037408	5.476318741988018	2	0.03225806451612903
Buphagidae	2	0	0.0	1	0.0	1	0.0	1	0.0	1	0.0	0.0	0.0	0	0.0
Burhinidae	10	0	0.0	5	0.8571428571428572	1	0.0	1	0.0	1	0.0	0.6783578799649272	0.9341217680818011	1	0.1
Cacatuidae	21	7	0.3333333333333333	2	0.11764705882352944	1	0.0	2	0.4411764705882353	2	0.48484848484848486	3.523664344831671	4.881892683661454	2	0.09523809523809523
Calcariidae	6	1	0.16666666666666666	1	0.0	2	0.6	1	0.0	1	0.0	0.1858538026780631	0.15721063549152012	6	1.0
Callaeidae	4	0	0.0	1	0.0	2	1.0	2	1.0	1	0.0	0.0	0.0	0	0.0
Calyptomenidae	6	0	0.0	2	0.6	2	0.6	2	0.6	2	0.6	0.18113511044277159	0.420342514766285	1	0.16666666666666666
Calyptophilidae	2	1	0.5	1	0.0	1	0.0	1	0.0	1	0.0	0.0	0.0	0	0.0
Campephagidae	99	9	0.09090909090909091	5	0.6631205673758865	3	0.19592198581560283	3	0.2278368794326241	5	0.33950046253469013	2.574108631222192	5.499378874962228	1	0.010101010101010102
Capitonidae	18	3	0.16666666666666666	1	0.0	1	0.0	1	0.0	1	0.0	0.3177716108999843	0.6429912971736199	5	0.2777777777777778
Caprimulgidae	98	7	0.07142857142857142	7	0.7781420765027323	1	0.0	1	0.0	3	0.4065573770491804	3.7211726153993183	10.934523972860758	11	0.11224489795918367
Cardinalidae	52	1	0.019230769230769232	2	0.4666666666666667	3	0.6653846153846155	4	0.6833333333333333	5	0.5783475783475783	4.164690135047073	2.7950075384779387	25	0.4807692307692308
Cariamidae	2	0	0.0	1	0.0	1	0.0	1	0.0	1	0.0	0.0	0.0	1	0.5
Casuariidae	4	0	0.0	1	0.0	1	0.0	2	0.5	1	0.0	0.5113697658899663	0.3335869294844901	1	0.25
Cathartidae	7	2	0.2857142857142857	2	0.2857142857142857	2	0.2857142857142857	1	0.0	1	0.0	2.3557235995646977	4.999684614786936	3	0.42857142857142855
Certhiidae	9	0	0.0	3	0.6388888888888888	2	0.38888888888888884	1	0.0	1	0.0	0.18970494877843072	0.18245007729407353	3	0.3333333333333333
Chaetopidae	2	0	0.0	1	0.0	1	0.0	1	0.0	1	0.0	0.0	0.0	0	0.0
Charadriidae	71	7	0.09859154929577464	7	0.8120218579234972	2	0.032786885245901676	3	0.5661202185792349	2	0.444121915820029	3.894483080425986	11.454289613229655	18	0.2535211267605634
Chionidae	2	0	0.0	1	0.0	1	0.0	1	0.0	0	0.0	0.0	0.0	0	0.0
Chloropseidae	13	4	0.3076923076923077	1	0.0	1	0.0	1	0.0	0	0.0	0.5050932776295864	0.8391122735411296	0	0.0
Ciconiidae	20	5	0.25	5	0.7973856209150327	1	0.0	3	0.4509803921568627	2	0.1428571428571429	3.185980889936775	3.12047120159236	1	0.05
Cinclidae	5	1	0.2	3	0.8333333333333334	1	0.0	1	0.0	1	0.0	0.023908733835378084	0.06274643131008856	2	0.4
Cinclosomatidae	11	0	0.0	1	0.0	1	0.0	1	0.0	1	0.0	0.3652231569420906	0.8535321262824199	0	0.0
Cisticolidae	161	11	0.06832298136645963	4	0.3890816562572288	1	0.0	1	0.0	3	0.20599120980800367	3.1382435749864337	2.278795659999956	10	0.062111801242236024
Climacteridae	7	0	0.0	1	0.0	1	0.0	1	0.0	2	0.2857142857142857	0.2203685901590698	0.30299078820381675	1	0.14285714285714285
Cnemophilidae	4	0	0.0	1	0.0	1	0.0	1	0.0	1	0.0	0.06291735486990202	0.03727047007884981	0	0.0
Coliidae	6	0	0.0	1	0.0	1	0.0	1	0.0	1	0.0	0.2597688719797397	0.49667249440541006	3	0.5
Columbidae	353	71	0.20113314447592068	8	0.7833047455688965	2	0.05162950257289878	3	0.5953116066323614	5	0.4562921104107802	10.201152282750613	16.523168699224634	29	0.0821529745042493
Conopophagidae	12	0	0.0	1	0.0	1	0.0	1	0.0	1	0.0	1.3291898034155403	1.3906569363001435	4	0.3333333333333333
Coraciidae	13	0	0.0	4	0.6909090909090909	1	0.0	2	0.32727272727272727	2	0.5555555555555556	0.5057870007666101	1.3287866649505269	1	0.07692307692307693
Corcoracidae	2	0	0.0	1	0.0	1	0.0	1	0.0	0	0.0	0.0	0.0	1	0.5
Corvidae	131	17	0.1297709923664122	7	0.8250749426908834	3	0.4126256392170693	4	0.3207547169811321	5	0.7	6.891205946884523	8.240742394573626	26	0.1984732824427481
Cotingidae	67	16	0.23880597014925373	1	0.0	3	0.33896569380440345	4	0.20839733742959554	5	0.7016949152542373	7.443868313237225	6.336475851115189	13	0.19402985074626866
Cracidae	56	21	0.375	1	0.0	1	0.0	2	0.15020408163265309	3	0.4357487922705314	5.141076499710909	4.327929363622627	4	0.07142857142857142
Cuculidae	150	11	0.07333333333333333	7	0.8051544791181493	3	0.1018475392019873	4	0.29855612482533767	7	0.5994609164420486	9.595541345921978	16.47047738497531	17	0.11333333333333333
Dasyornithidae	3	2	0.6666666666666666	1	0.0	1	0.0	2	0.6666666666666667	1	0.0	0.12070939976089369	0.028060648035435395	0	0.0
Dicaeidae	55	3	0.05454545454545454	2	0.4651162790697675	3	0.3178294573643411	4	0.5902547065337763	5	0.2892307692307692	1.5172570987944667	1.4099340280427564	1	0.01818181818181818
Dicruridae	26	3	0.11538461538461539	4	0.7272727272727273	2	0.09090909090909094	1	0.0	2	0.24675324675324672	0.8770573987183887	1.0142036655159687	1	0.038461538461538464
Diomedeidae	22	15	0.6818181818181818	6	0.7761904761904762	2	0.09523809523809523	1	0.0	1	0.0	1.1326674510475534	8.865941123758434	2	0.09090909090909091
Donacobiidae	1	0	0.0	1	0.0	1	0.0	1	0.0	1	0.0	0.0	0.0	0	0.0
Dromadidae	1	0	0.0	1	0.0	1	0.0	1	0.0	1	0.0	0.0	0.0	0	0.0
Dulidae	1	0	0.0	1	0.0	1	0.0	1	0.0	1	0.0	0.0	0.0	1	1.0
Elachuridae	1	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0.0
Emberizidae	44	4	0.09090909090909091	2	0.3413940256045519	3	0.561877667140825	3	0.5917496443812233	3	0.3586956521739131	1.20062570135096	1.7291269869220318	5	0.11363636363636363
Estrildidae	141	6	0.0425531914893617	4	0.609742201965532	3	0.2543797179888905	4	0.24569149693775816	6	0.6983590733590734	3.291463486875791	3.1961706203726092	7	0.04964539007092199
Eulacestomidae	1	0	0.0	1	0.0	1	0.0	1	0.0	1	0.0	0.0	0.0	0	0.0
Eupetidae	1	0	0.0	1	0.0	1	0.0	1	0.0	1	0.0	0.0	0.0	0	0.0
Eurylaimidae	12	3	0.25	2	0.2857142857142857	2	0.2857142857142857	2	0.2857142857142857	2	0.33333333333333337	1.9443435582359008	0.37063666927393457	2	0.16666666666666666
Eurypygidae	1	0	0.0	1	0.0	1	0.0	1	0.0	1	0.0	0.0	0.0	0	0.0
Falconidae	64	7	0.109375	7	0.8142076502732241	2	0.09508196721311479	3	0.5770491803278688	9	0.8231292517006803	3.6771922537562567	17.365988809137683	8	0.125
Falcunculidae	3	0	0.0	1	0.0	1	0.0	1	0.0	1	0.0	0.0	0.0	0	0.0
Formicariidae	12	0	0.0	1	0.0	1	0.0	1	0.0	1	0.0	0.40555793072828267	0.6445555441465622	3	0.25
Fregatidae	5	2	0.4	5	1.0	1	0.0	1	0.0	1	0.0	0.08067268730982484	0.3727951837331559	1	0.2
Fringillidae	210	31	0.14761904761904762	6	0.7198025039675542	3	0.15870216892964206	5	0.7189208252512784	7	0.7581953911067836	7.49215705174335	3.7974458526273485	35	0.16666666666666666
Furnariidae	329	33	0.10030395136778116	1	0.0	2	0.03815642626609961	3	0.03827707899737576	5	0.6703854571984436	10.672650190485138	6.319879016638835	78	0.23708206686930092
Galbulidae	19	1	0.05263157894736842	1	0.0	1	0.0	1	0.0	1	0.0	1.333166032965852	1.533060994798448	2	0.10526315789473684
Gaviidae	5	0	0.0	2	0.6	1	0.0	1	0.0	1	0.0	0.5338009523962961	0.2409720344876526	5	1.0
Glareolidae	17	2	0.11764705882352941	5	0.75	1	0.0	1	0.0	2	0.525	1.2099627421879617	5.8270607998029815	1	0.058823529411764705
Grallariidae	55	16	0.2909090909090909	1	0.0	2	0.04081632653061229	2	0.04081632653061229	3	0.2943262411347518	3.769848192163098	5.51652427572695	12	0.21818181818181817
Gruidae	15	10	0.6666666666666666	3	0.6666666666666667	3	0.6666666666666667	1	0.0	0	0.0	0.7230175651805361	0.5688242736896019	2	0.13333333333333333
Haematopodidae	10	1	0.1	4	0.7777777777777778	1	0.0	1	0.0	1	0.0	0.2693781917773086	0.4998077052434396	6	0.6
Heliornithidae	3	1	0.3333333333333333	3	1.0	1	0.0	1	0.0	1	0.0	0.4588178430894988	0.535258339662652	0	0.0
Hemiprocnidae	4	0	0.0	2	0.5	1	0.0	1	0.0	2	0.5	2.347773072725245	4.377361405807093	0	0.0
Hirundinidae	89	7	0.07865168539325842	7	0.7454545454545455	1	0.0	1	0.0	1	0.0	3.20784237388218	4.528118273802588	15	0.16853932584269662
Hydrobatidae	18	6	0.3333333333333333	1	0.0	1	0.0	1	0.0	1	0.0	0.0	0.0	0	0.0
Hyliotidae	4	1	0.25	1	0.0	1	0.0	1	0.0	1	0.0	0.09571874558741258	0.0029111480965293693	0	0.0
Hylocitreidae	2	1	0.5	1	0.0	1	0.0	1	0.0	1	0.0	0.0	0.0	0	0.0
Hypocoliidae	1	0	0.0	1	0.0	1	0.0	1	0.0	1	0.0	0.0	0.0	0	0.0
Ibidorhynchidae	1	0	0.0	1	0.0	1	0.0	1	0.0	1	0.0	0.0	0.0	0	0.0
Icteridae	114	15	0.13157894736842105	2	0.32087912087912085	3	0.48229548229548225	5	0.5721611721611721	7	0.645760743321719	5.529813262522911	3.8923827170547383	36	0.3157894736842105
Ifritidae	1	0	0.0	1	0.0	1	0.0	1	0.0	1	0.0	0.0	0.0	0	0.0
Indicatoridae	16	0	0.0	2	0.23333333333333328	2	0.125	2	0.125	3	0.5904761904761905	2.2006386273266463	1.517593468134598	1	0.0625
Irenidae	3	0	0.0	1	0.0	1	0.0	1	0.0	1	0.0	0.0	0.0	0	0.0
Jacanidae	8	1	0.125	5	0.8928571428571429	3	0.6785714285714286	2	0.4285714285714286	1	0.0	0.8347350841020753	2.5539382874256127	1	0.125
Lamproliidae	4	2	0.5	2	0.6666666666666667	1	0.0	1	0.0	2	0.6666666666666667	0.08325532555771395	0.466165113846727	0	0.0
Laniidae	33	2	0.06060606060606061	4	0.6600985221674878	1	0.0	3	0.1354679802955665	3	0.14021164021164023	0.6544248703602129	1.8468713445748992	4	0.12121212121212122
Laridae	100	15	0.15	9	0.8257229832572298	2	0.15296803652968038	2	0.37671232876712324	3	0.6565656565656566	6.066397939489017	8.277400581916483	43	0.43
Leiotrichidae	148	19	0.12837837837837837	3	0.5122779519331244	3	0.5175026123301986	2	0.30094043887147337	4	0.5594679186228482	3.2518949410841924	3.1329625523109237	6	0.04054054054054054
Leptosomidae	1	0	0.0	1	0.0	1	0.0	1	0.0	1	0.0	0.0	0.0	0	0.0
Locustellidae	63	10	0.15873015873015872	5	0.7700534759358288	1	0.0	1	0.0	3	0.5062388591800356	2.244970957014691	4.2001939262761425	2	0.031746031746031744
Lybiidae	53	3	0.05660377358490566	1	0.0	2	0.4638655462184874	3	0.33949579831932775	2	0.06896551724137934	2.8455738107642703	1.4984098605120724	3	0.05660377358490566
Machaerirhynchidae	2	0	0.0	1	0.0	1	0.0	1	0.0	1	0.0	0.0	0.0	0	0.0
Macrosphenidae	21	2	0.09523809523809523	1	0.0	1	0.0	1	0.0	1	0.0	1.6079028892208422	1.1008485600133828	1	0.047619047619047616
Malaconotidae	48	5	0.10416666666666667	1	0.0	2	0.052631578947368474	2	0.052631578947368474	4	0.530583214793741	1.351147943310042	1.7057143000967483	5	0.10416666666666667
Maluridae	29	3	0.10344827586206896	1	0.0	3	0.52	3	0.52	3	0.5220588235294117	3.257047442976062	1.5848442720067468	1	0.034482758620689655
Megalaimidae	35	0	0.0	1	0.0	1	0.0	1	0.0	1	0.0	0.0	0.0	0	0.0
Megapodiidae	21	11	0.5238095238095238	3	0.35789473684210527	2	0.18947368421052635	2	0.18947368421052635	1	0.0	2.165012822265833	4.543781482633442	0	0.0
Melampittidae	2	0	0.0	1	0.0	1	0.0	1	0.0	1	0.0	0.0	0.0	0	0.0
Melanocharitidae	11	0	0.0	1	0.0	1	0.0	2	0.5357142857142857	1	0.0	1.9023144359788375	0.6133450277171302	0	0.0
Melanopareiidae	4	0	0.0	1	0.0	1	0.0	1	0.0	1	0.0	0.11723762403134784	0.10140945315124436	0	0.0
Meliphagidae	192	10	0.052083333333333336	2	0.0843709746672392	3	0.6107771575783598	4	0.6685272649205667	6	0.5773109243697478	7.521370005628899	6.3701324248667195	9	0.046875
Menuridae	2	0	0.0	1	0.0	1	0.0	1	0.0	1	0.0	0.0	0.0	0	0.0
Meropidae	31	0	0.0	4	0.5784615384615385	1	0.0	1	0.0	2	0.07692307692307687	1.4371028427982553	5.684206994571515	3	0.0967741935483871
Mesitornithidae	3	3	1.0	1	0.0	2	0.6666666666666667	1	0.0	1	0.0	0.36587562722481715	0.04260729331222915	0	0.0
Mimidae	34	6	0.17647058823529413	2	0.45833333333333337	2	0.5113636363636364	2	0.49242424242424243	2	0.33684210526315794	1.443378311697937	0.7540149755369487	12	0.35294117647058826
Mitrospingidae	4	0	0.0	1	0.0	3	0.8333333333333334	2	0.6666666666666667	1	0.0	0.1257170005542832	0.091269925948968	1	0.25
Modulatricidae	3	1	0.3333333333333333	1	0.0	2	1.0	2	1.0	1	0.0	0.0	0.0	0	0.0
Mohouidae	3	1	0.3333333333333333	1	0.0	2	0.6666666666666667	1	0.0	1	0.0	0.011704092489183374	0.01546208568409558	0	0.0
Momotidae	14	1	0.07142857142857142	1	0.0	1	0.0	2	0.3555555555555555	2	0.5714285714285714	0.6558207226663123	0.6301221370028389	6	0.42857142857142855
Monarchidae	104	22	0.21153846153846154	6	0.7271627344222625	1	0.0	2	0.03448275862068961	6	0.7138535995160314	3.5771939808330666	4.558098131424786	7	0.0673076923076923
Motacillidae	66	8	0.12121212121212122	8	0.7386569872958257	2	0.13067150635208713	2	0.03448275862068961	3	0.06836055656382334	1.5641570212101656	4.3841816031253575	10	0.15151515151515152
Muscicapidae	335	33	0.09850746268656717	5	0.7268666565148978	3	0.14080503527739707	3	0.2035937262067915	6	0.8140075559430398	4.082343598352117	10.960756116855434	22	0.06567164179104477
Musophagidae	24	2	0.08333333333333333	1	0.0	1	0.0	1	0.0	1	0.0	1.389286554127651	1.1898394613535677	0	0.0
Nectariniidae	147	7	0.047619047619047616	4	0.5168408826945412	3	0.4239256678281068	3	0.6120789779326365	3	0.42292490118577075	3.7730838690434503	3.4782318959985528	4	0.027210884353741496
Neosittidae	3	0	0.0	1	0.0	1	0.0	1	0.0	1	0.0	0.0	0.0	0	0.0
Nesospingidae	1	0	0.0	1	0.0	1	0.0	1	0.0	1	0.0	0.0	0.0	0	0.0
Nicatoridae	3	0	0.0	1	0.0	1	0.0	1	0.0	1	0.0	0.024591684295310764	0.06247575461636551	0	0.0
Notiomystidae	1	1	1.0	1	0.0	1	0.0	1	0.0	0	0.0	0.0	0.0	0	0.0
