name	n_species	n_te	prop_te	n_realm	d_realm	n_trophlevel	d_trophlevel	n_trophniche	d_trophniche	n_forageniche	d_forageniche	beak_area	morph_area	n_hasTissue	prop_hasTissue
ACCIPITRIFORMES	251	56	0.22310756972111553	8	0.8303215519532288	4	0.15001328727079455	6	0.4414474266985561	13	0.7527363184079602	12.63390756235008	22.456320742899713	24	0.09561752988047809
ANSERIFORMES	170	31	0.18235294117647058	9	0.8258753834761452	3	0.6092245847878981	4	0.706230826192743	8	0.8059228650137741	6.879180551931753	14.58825782014481	69	0.40588235294117647
BUCEROTIFORMES	72	25	0.3472222222222222	2	0.5094130675526025	3	0.627906976744186	3	0.5094130675526025	4	0.5280487804878049	17.684287619708126	8.823325102074477	4	0.05555555555555555
CAPRIMULGIFORMES	597	54	0.09045226130653267	7	0.43390628469908954	3	0.4625449700199866	4	0.4625627359538086	8	0.5472551689540259	34.454753546698996	53.54900909111936	135	0.22613065326633167
CARIAMIFORMES	2	0	0.0	1	0.0	1	0.0	1	0.0	1	0.0	0.0	0.0	1	0.5
CATHARTIFORMES	7	2	0.2857142857142857	2	0.2857142857142857	2	0.2857142857142857	1	0.0	1	0.0	2.3557235995646977	4.999684614786936	3	0.42857142857142855
CHARADRIIFORMES	377	49	0.129973474801061	9	0.817321646252975	3	0.20891623614094157	5	0.5030862405913199	9	0.7213443490815754	31.998826256220394	32.151033313241406	149	0.3952254641909814
CICONIIFORMES	20	5	0.25	5	0.7973856209150327	1	0.0	3	0.4509803921568627	2	0.1428571428571429	3.185980889936775	3.12047120159236	1	0.05
COLIIFORMES	6	0	0.0	1	0.0	1	0.0	1	0.0	1	0.0	0.2597688719797397	0.49667249440541006	3	0.5
COLUMBIFORMES	353	71	0.20113314447592068	8	0.7833047455688965	2	0.05162950257289878	3	0.5953116066323614	5	0.4562921104107802	10.201152282750613	16.523168699224634	29	0.0821529745042493
CORACIIFORMES	188	20	0.10638297872340426	8	0.7995642701525054	1	0.0	3	0.36819172113289755	7	0.7707936507936508	10.249637762216784	15.28888220582849	25	0.13297872340425532
CUCULIFORMES	150	11	0.07333333333333333	7	0.8051544791181493	3	0.1018475392019873	4	0.29855612482533767	7	0.5994609164420486	9.595541345921978	16.47047738497531	17	0.11333333333333333
EURYPYGIFORMES	2	1	0.5	2	1.0	1	0.0	2	1.0	2	1.0	0.0	0.0	0	0.0
FALCONIFORMES	64	7	0.109375	7	0.8142076502732241	2	0.09508196721311479	3	0.5770491803278688	9	0.8231292517006803	3.6771922537562567	17.365988809137683	8	0.125
GALLIFORMES	307	80	0.26058631921824105	7	0.7669913153545938	3	0.2168700116029676	5	0.5899933195035336	6	0.7723367697594502	13.741151995079957	23.107752673689255	31	0.10097719869706841
GAVIIFORMES	5	0	0.0	2	0.6	1	0.0	1	0.0	1	0.0	0.5338009523962961	0.2409720344876526	5	1.0
GRUIFORMES	169	49	0.28994082840236685	8	0.7813666915608664	3	0.6021284540702017	5	0.6637415982076176	8	0.5896351136964568	18.653581897902733	24.63836324684181	17	0.10059171597633136
LEPTOSOMIFORMES	1	0	0.0	1	0.0	1	0.0	1	0.0	1	0.0	0.0	0.0	0	0.0
MESITORNITHIFORMES	3	3	1.0	1	0.0	2	0.6666666666666667	1	0.0	1	0.0	0.36587562722481715	0.04260729331222915	0	0.0
MUSOPHAGIFORMES	24	2	0.08333333333333333	1	0.0	1	0.0	1	0.0	1	0.0	1.389286554127651	1.1898394613535677	0	0.0
OPISTHOCOMIFORMES	1	0	0.0	1	0.0	1	0.0	1	0.0	1	0.0	0.0	0.0	0	0.0
OTIDIFORMES	26	8	0.3076923076923077	4	0.6761904761904762	3	0.36190476190476195	1	0.0	0	0.0	4.196292799068715	2.5097805583150024	3	0.11538461538461539
PASSERIFORMES	6603	670	0.10146902922913827	9	0.7685478853221851	3	0.5741925576542579	8	0.5568383936324516	17	0.8331074826308682	34.164404614305546	43.06056921244231	1010	0.15296077540511888
PELECANIFORMES	110	19	0.17272727272727273	7	0.8023088023088023	1	0.0	3	0.33065347351061636	4	0.3068698209035018	17.723969847480564	12.452205167068987	22	0.2
PHAETHONTIFORMES	3	0	0.0	3	1.0	1	0.0	1	0.0	1	0.0	0.045088764912418956	0.13316347272181536	3	1.0
PHOENICOPTERIFORMES	6	1	0.16666666666666666	2	0.5333333333333333	2	0.6	2	0.6	2	0.6	0.30347946657363817	1.0791088153327575	1	0.16666666666666666
PICIFORMES	484	31	0.0640495867768595	6	0.5950933643941324	3	0.5171623048083573	4	0.44216139482400907	8	0.6904621395575996	24.219189785555734	11.228251275474898	73	0.15082644628099173
PODICIPEDIFORMES	20	5	0.25	6	0.8070175438596492	1	0.0	1	0.0	2	0.2807017543859649	3.6881170008186466	3.298908103737989	6	0.3
PROCELLARIIFORMES	145	65	0.4482758620689655	9	0.8045787545787546	2	0.05604395604395607	2	0.037728937728937706	5	0.6668570340757662	13.651046499867986	22.62870997461432	16	0.1103448275862069
PSITTACIFORMES	404	114	0.28217821782178215	8	0.6509432042489978	2	0.006369426751592355	5	0.6852933395738792	6	0.6902623324779014	13.445558603021517	21.960640295745513	22	0.054455445544554455
PTEROCLIFORMES	16	0	0.0	4	0.6416666666666666	1	0.0	2	0.125	2	0.125	1.1238266123910328	5.479804620575082	0	0.0
SPHENISCIFORMES	18	9	0.5	4	0.7647058823529411	1	0.0	1	0.0	1	0.0	2.867005945084034	9.580868602720395	3	0.16666666666666666
STRIGIFORMES	238	44	0.18487394957983194	7	0.8113122752953261	1	0.0	4	0.5824345146379044	8	0.7302291204730229	6.067991185562876	21.878108861231464	27	0.1134453781512605
STRUTHIONIFORMES	61	11	0.18032786885245902	3	0.2756892230576441	3	0.22681704260651625	3	0.22681704260651625	2	0.5714285714285714	29.005044498726242	36.77183895629919	8	0.13114754098360656
SULIFORMES	53	15	0.2830188679245283	6	0.8367816091954023	1	0.0	1	0.0	3	0.632183908045977	4.391592696507152	16.220699765618487	8	0.1509433962264151
